epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7515,2.11902,4.57958,2.06668,0,0,0,0,nan,nan,nan,0.000469116,0.000469116,0.000469116
2,53.7789,1.89947,2.51745,1.97591,0.00342,0.15559,0.00186,0.00024,4.01724,inf,15.6679,0.00093609,0.00093609,0.00093609
3,80.5471,1.87643,2.45089,1.99679,0.00342,0.15559,0.00186,0.00024,4e-05,6.59766,0.00021,0.00139363,0.00139363,0.00139363
4,106.983,1.81745,2.18563,1.91119,0.33553,0.24126,0.20803,0.10256,2.10594,2.98054,2.06998,0.00138656,0.00138656,0.00138656
5,133.315,1.7978,2.02916,1.87456,0.60082,0.38449,0.45106,0.17589,1.85781,2.51743,1.86983,0.00137241,0.00137241,0.00137241
6,159.352,1.71096,1.96869,1.80948,0.84107,0.63287,0.67822,0.33007,1.78843,2.3565,1.83754,0.00135826,0.00135826,0.00135826
7,185.614,1.69838,1.84625,1.75939,0.83623,0.56849,0.63975,0.29262,1.93593,2.00277,1.9492,0.00134412,0.00134412,0.00134412
8,210.903,1.66713,1.75636,1.7527,0.72151,0.59716,0.68098,0.34224,1.7036,1.7822,1.80483,0.00132997,0.00132997,0.00132997
9,237.218,1.61131,1.64336,1.7547,0.69096,0.49418,0.64605,0.3642,1.59392,1.78624,1.68343,0.00131582,0.00131582,0.00131582
10,263.25,1.59405,1.63988,1.70495,0.86125,0.6649,0.78245,0.40754,1.69587,1.24967,1.70614,0.00130168,0.00130168,0.00130168
11,289.324,1.59954,1.56262,1.68535,0.98781,0.59123,0.71865,0.36717,1.66468,1.67338,1.71885,0.00128753,0.00128753,0.00128753
12,314.267,1.57002,1.61467,1.6738,0.88814,0.63947,0.68358,0.39554,1.65404,1.65146,1.81369,0.00127338,0.00127338,0.00127338
13,339.287,1.51985,1.57831,1.6496,0.83536,0.64886,0.70776,0.42224,1.48942,1.63996,1.54909,0.00125923,0.00125923,0.00125923
14,365.379,1.53584,1.55295,1.66049,0.92606,0.6946,0.79191,0.44419,1.38355,1.32926,1.48066,0.00124509,0.00124509,0.00124509
15,391.634,1.51083,1.46935,1.63824,0.92471,0.57517,0.73705,0.3944,1.64595,1.56994,1.66604,0.00123094,0.00123094,0.00123094
16,416.768,1.49161,1.4972,1.62536,0.95613,0.63287,0.75092,0.40739,1.60211,1.34672,1.62713,0.00121679,0.00121679,0.00121679
17,441.889,1.43619,1.44873,1.57706,0.93638,0.67133,0.72174,0.41742,1.56161,1.39637,1.58691,0.00120265,0.00120265,0.00120265
18,466.71,1.43043,1.40967,1.59061,0.81571,0.7132,0.79493,0.47311,1.40742,1.16424,1.49636,0.0011885,0.0011885,0.0011885
19,492.699,1.44987,1.42651,1.6065,0.92417,0.67133,0.7902,0.44884,1.48329,1.36992,1.5545,0.00117435,0.00117435,0.00117435
20,517.492,1.40035,1.34698,1.55509,0.84732,0.67133,0.738,0.43166,1.61669,1.3697,1.64229,0.00116021,0.00116021,0.00116021
21,542.414,1.37334,1.32393,1.54677,0.94132,0.68971,0.818,0.44088,1.50299,1.23054,1.61065,0.00114606,0.00114606,0.00114606
22,567.291,1.38721,1.26698,1.55723,0.92565,0.70979,0.82632,0.50195,1.44956,1.13561,1.51742,0.00113191,0.00113191,0.00113191
23,593.433,1.36805,1.27332,1.55816,0.95042,0.67133,0.75173,0.45075,1.50575,1.3866,1.51395,0.00111776,0.00111776,0.00111776
24,618.248,1.39729,1.27191,1.5543,0.97314,0.62309,0.80993,0.4887,1.37215,1.03651,1.44206,0.00110362,0.00110362,0.00110362
25,643.26,1.32407,1.26036,1.51949,0.8057,0.74148,0.83426,0.48101,1.36297,1.13263,1.47501,0.00108947,0.00108947,0.00108947
26,668.093,1.29024,1.19629,1.463,0.864,0.67133,0.78916,0.47501,1.36762,1.1799,1.41507,0.00107532,0.00107532,0.00107532
27,692.816,1.28766,1.18618,1.48334,0.80528,0.74825,0.83306,0.52181,1.32032,1.11337,1.44724,0.00106118,0.00106118,0.00106118
28,718.735,1.28673,1.17213,1.46928,0.9831,0.63287,0.77952,0.50644,1.3315,1.24462,1.39761,0.00104703,0.00104703,0.00104703
29,743.871,1.27768,1.17108,1.467,0.85388,0.74825,0.82935,0.5332,1.278,1.0565,1.39672,0.00103288,0.00103288,0.00103288
30,769.676,1.24856,1.14709,1.46549,0.89341,0.74825,0.84248,0.49502,1.48877,1.19073,1.53426,0.00101873,0.00101873,0.00101873
31,794.734,1.27923,1.15646,1.48448,0.76172,0.89336,0.89396,0.52894,1.40957,0.9501,1.491,0.00100459,0.00100459,0.00100459
32,820.716,1.27123,1.1449,1.4569,0.98468,0.63287,0.77643,0.4713,1.33607,1.22626,1.43085,0.00099044,0.00099044,0.00099044
33,845.79,1.28199,1.15448,1.44643,0.88908,0.67055,0.72246,0.44247,1.49997,1.27271,1.48541,0.000976293,0.000976293,0.000976293
34,870.683,1.2399,1.15096,1.45615,0.82429,0.78199,0.83774,0.52345,1.42284,1.01792,1.39058,0.000962146,0.000962146,0.000962146
35,895.653,1.24442,1.13338,1.45733,0.94505,0.67133,0.78848,0.48241,1.52454,1.32882,1.53256,0.000947999,0.000947999,0.000947999
36,920.471,1.19808,1.10915,1.40584,0.88799,0.73252,0.85502,0.53442,1.32993,1.02982,1.42597,0.000933851,0.000933851,0.000933851
37,946.483,1.22527,1.14794,1.43784,0.96233,0.67133,0.75983,0.45517,1.40529,1.31115,1.45501,0.000919704,0.000919704,0.000919704
38,971.241,1.16624,1.06156,1.40521,0.90622,0.74825,0.90097,0.55051,1.30039,0.89305,1.36312,0.000905557,0.000905557,0.000905557
39,997.316,1.17944,1.08639,1.37611,0.91254,0.80669,0.87347,0.51471,1.41007,0.91367,1.47077,0.00089141,0.00089141,0.00089141
40,1022.05,1.17512,1.07791,1.40181,0.82871,0.77753,0.87331,0.49969,1.38347,0.88538,1.4105,0.000877263,0.000877263,0.000877263
41,1047.01,1.14885,1.07625,1.38901,0.92496,0.72813,0.88653,0.54212,1.2615,1.0585,1.39308,0.000863116,0.000863116,0.000863116
42,1071.8,1.14793,1.05115,1.37109,0.85883,0.74961,0.88083,0.51697,1.44598,1.0499,1.46597,0.000848969,0.000848969,0.000848969
43,1096.62,1.18964,1.09394,1.40508,0.84653,0.73252,0.8311,0.50116,1.36742,1.00852,1.3956,0.000834822,0.000834822,0.000834822
44,1121.6,1.15674,1.06691,1.38944,0.84241,0.76804,0.81159,0.50866,1.32459,1.10871,1.39219,0.000820675,0.000820675,0.000820675
45,1146.7,1.14378,1.04656,1.34774,0.89618,0.74771,0.8026,0.47688,1.3774,1.18545,1.43031,0.000806528,0.000806528,0.000806528
46,1171.56,1.1377,1.02658,1.36585,0.86385,0.77098,0.85717,0.50306,1.41631,0.9772,1.43704,0.00079238,0.00079238,0.00079238
47,1196.65,1.11828,1.05829,1.35926,0.85719,0.77098,0.8709,0.56186,1.36147,0.84312,1.3499,0.000778233,0.000778233,0.000778233
48,1222.71,1.06587,0.96898,1.31008,0.87785,0.78826,0.87868,0.53507,1.36454,0.92776,1.43232,0.000764086,0.000764086,0.000764086
49,1247.59,1.11133,1.00132,1.35869,1,0.66942,0.75369,0.48892,1.28607,1.15965,1.32574,0.000749939,0.000749939,0.000749939
50,1272.48,1.05974,0.96506,1.31126,0.82727,0.83674,0.85281,0.51643,1.40468,1.21236,1.42554,0.000735792,0.000735792,0.000735792
51,1297.51,1.10831,0.98808,1.34347,0.97646,0.63287,0.86221,0.5233,1.40706,0.88534,1.40246,0.000721645,0.000721645,0.000721645
52,1322.42,1.04694,0.95734,1.28927,0.96049,0.67133,0.7721,0.4465,1.47453,1.14829,1.52333,0.000707498,0.000707498,0.000707498
53,1347.54,1.0356,0.9535,1.28921,0.97133,0.69794,0.85998,0.51763,1.41577,1.01796,1.41457,0.000693351,0.000693351,0.000693351
54,1372.41,1.06479,0.96728,1.31525,0.90115,0.76399,0.90896,0.59008,1.2641,0.80333,1.35292,0.000679204,0.000679204,0.000679204
55,1398.4,1.03603,0.95762,1.29948,0.87906,0.78736,0.87623,0.53194,1.36783,0.97071,1.38919,0.000665057,0.000665057,0.000665057
56,1423.09,1.07061,0.97224,1.31515,0.89857,0.69406,0.76817,0.48224,1.46678,1.24657,1.40114,0.000650909,0.000650909,0.000650909
57,1448.09,0.99009,0.93432,1.28454,0.82201,0.79371,0.82131,0.49564,1.50163,1.16524,1.4701,0.000636762,0.000636762,0.000636762
58,1473.11,1.03062,0.91993,1.27515,0.95041,0.69083,0.80599,0.47395,1.40082,1.06862,1.37331,0.000622615,0.000622615,0.000622615
59,1498.18,0.98329,0.94213,1.26611,0.85024,0.75524,0.74946,0.43713,1.53289,1.59099,1.49529,0.000608468,0.000608468,0.000608468
