epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7976,2.14782,3.70286,2.0777,0.00118,0.36189,0.00082,0.00041,2.25723,inf,2.72218,0.000469116,0.000469116,0.000469116
2,75.1968,1.89084,2.29818,1.89923,0.09658,0.24967,0.09213,0.04293,2.33797,12.2152,2.94518,0.00093921,0.00093921,0.00093921
3,111.246,1.86431,2.1826,1.83352,0.64485,0.14136,0.15447,0.08931,1.9004,14.8175,2.01177,0.00140302,0.00140302,0.00140302
4,146.464,1.84971,2.09973,1.8523,0.7635,0.26573,0.34973,0.1522,2.12681,3.93897,1.93315,0.00140071,0.00140071,0.00140071
5,181.806,1.78676,1.9452,1.7604,0.74359,0.57847,0.59857,0.26925,1.92257,2.67604,1.85858,0.00139127,0.00139127,0.00139127
6,216.985,1.82691,1.94533,1.78071,0.74359,0.57847,0.59857,0.26925,nan,nan,nan,0.00138184,0.00138184,0.00138184
7,252.832,1.77089,1.8708,1.73491,0.97362,0.54196,0.64556,0.29655,1.87688,2.09905,1.70705,0.00137241,0.00137241,0.00137241
8,288.301,1.66601,1.79708,1.68222,0.87972,0.41678,0.56862,0.2635,1.84723,3.12713,1.90825,0.00136298,0.00136298,0.00136298
9,322.946,1.65643,1.71533,1.69549,0.91776,0.67133,0.68183,0.44671,1.59788,1.71671,1.5576,0.00135355,0.00135355,0.00135355
10,357.949,1.64983,1.67109,1.65899,0.85445,0.66612,0.73991,0.35589,1.72538,1.55112,1.70672,0.00134412,0.00134412,0.00134412
11,392.618,1.62549,1.61679,1.64499,0.73536,0.6231,0.64887,0.29958,1.85823,2.08956,1.78479,0.00133469,0.00133469,0.00133469
12,427.346,1.57142,1.58408,1.60704,0.86222,0.63277,0.77401,0.4344,1.51173,1.36128,1.59701,0.00132525,0.00132525,0.00132525
13,462.105,1.58245,1.57463,1.61952,0.74305,0.62587,0.60954,0.33556,1.67224,1.84042,1.69013,0.00131582,0.00131582,0.00131582
14,496.617,1.56748,1.58644,1.62189,0.90018,0.63287,0.67632,0.37763,1.54985,1.78903,1.49797,0.00130639,0.00130639,0.00130639
15,531.086,1.53874,1.44691,1.58547,0.86267,0.67483,0.74661,0.35011,1.97588,2.13014,1.86842,0.00129696,0.00129696,0.00129696
16,565.53,1.52219,1.49252,1.58715,0.93335,0.65288,0.69739,0.3474,1.78072,1.62845,1.75552,0.00128753,0.00128753,0.00128753
17,600.23,1.55041,1.49533,1.60056,0.95844,0.63287,0.67493,0.3247,1.75171,1.81515,1.68028,0.0012781,0.0012781,0.0012781
18,635.214,1.54258,1.43524,1.60566,0.8977,0.65782,0.79907,0.39193,1.59426,1.2297,1.54526,0.00126867,0.00126867,0.00126867
19,670.02,1.51835,1.43445,1.58395,0.87706,0.62587,0.73797,0.45019,1.43485,1.54048,1.50289,0.00125923,0.00125923,0.00125923
20,705.076,1.4886,1.39805,1.54937,0.95622,0.67133,0.79528,0.43117,1.42518,1.32032,1.51109,0.0012498,0.0012498,0.0012498
21,739.515,1.44677,1.38688,1.52169,0.89312,0.65338,0.76868,0.42056,1.51676,1.3465,1.51439,0.00124037,0.00124037,0.00124037
22,773.975,1.44478,1.34685,1.54039,0.9323,0.67133,0.79362,0.45255,1.50713,1.23347,1.52399,0.00123094,0.00123094,0.00123094
23,809.406,1.44477,1.36353,1.55211,0.87191,0.74825,0.79801,0.46535,1.5849,1.34729,1.5585,0.00122151,0.00122151,0.00122151
24,844.654,1.474,1.39619,1.56266,0.9127,0.61014,0.67977,0.39621,1.87362,1.60906,1.7598,0.00121208,0.00121208,0.00121208
25,879.351,1.44763,1.39041,1.53842,0.90997,0.66665,0.72679,0.3993,1.54144,1.59469,1.59373,0.00120265,0.00120265,0.00120265
26,913.937,1.40564,1.29581,1.48245,0.87,0.59154,0.70283,0.3909,1.63764,1.67892,1.60063,0.00119322,0.00119322,0.00119322
27,948.381,1.38491,1.31159,1.4819,0.94821,0.65932,0.7438,0.45208,1.53976,1.36892,1.49868,0.00118378,0.00118378,0.00118378
28,982.798,1.34859,1.20586,1.45726,0.94732,0.67133,0.71609,0.44836,1.45492,1.29044,1.41419,0.00117435,0.00117435,0.00117435
29,1017.6,1.38026,1.25228,1.48106,0.8009,0.69406,0.78849,0.47372,1.45603,1.31806,1.49628,0.00116492,0.00116492,0.00116492
30,1052.77,1.34488,1.22329,1.48723,0.96753,0.63287,0.79002,0.43447,1.47511,1.29412,1.51923,0.00115549,0.00115549,0.00115549
31,1087.2,1.41873,1.33728,1.53032,0.97382,0.63287,0.80533,0.44672,1.49779,1.20739,1.57368,0.00114606,0.00114606,0.00114606
32,1121.7,1.38001,1.24755,1.49509,0.9351,0.65559,0.76603,0.47986,1.31816,1.07664,1.37693,0.00113663,0.00113663,0.00113663
33,1157.06,1.37677,1.23696,1.46589,0.91303,0.61888,0.72933,0.42035,1.53199,1.48571,1.44332,0.0011272,0.0011272,0.0011272
34,1191.72,1.32534,1.25474,1.44491,0.95931,0.67133,0.73895,0.45355,1.49337,1.27282,1.44478,0.00111776,0.00111776,0.00111776
35,1226.54,1.35172,1.24038,1.47384,0.98262,0.64475,0.75405,0.43735,1.44423,1.30079,1.42618,0.00110833,0.00110833,0.00110833
36,1261.04,1.30242,1.1837,1.42741,0.94719,0.66828,0.80623,0.48756,1.50663,1.59111,1.47546,0.0010989,0.0010989,0.0010989
37,1296.03,1.31652,1.23426,1.44565,0.81419,0.72268,0.74608,0.45498,1.43371,1.35193,1.47996,0.00108947,0.00108947,0.00108947
38,1330.41,1.33203,1.19183,1.46007,0.87267,0.70979,0.8169,0.50864,1.3109,1.27046,1.36748,0.00108004,0.00108004,0.00108004
39,1365.93,1.3135,1.21335,1.4303,0.9465,0.67133,0.6957,0.42036,1.54066,1.54792,1.48754,0.00107061,0.00107061,0.00107061
40,1400.87,1.30744,1.17676,1.44035,0.93482,0.68574,0.86285,0.50734,1.37089,0.95608,1.37697,0.00106118,0.00106118,0.00106118
41,1436.15,1.25946,1.14599,1.40238,0.94094,0.65116,0.77199,0.46253,1.39122,1.31376,1.41656,0.00105174,0.00105174,0.00105174
42,1470.53,1.25624,1.12765,1.39293,0.89014,0.72609,0.83629,0.474,1.45749,1.07732,1.44505,0.00104231,0.00104231,0.00104231
43,1504.56,1.26408,1.1517,1.39974,0.86959,0.69406,0.76424,0.41814,1.5003,1.44069,1.45878,0.00103288,0.00103288,0.00103288
44,1539.1,1.24194,1.14221,1.41875,0.92262,0.73448,0.80144,0.48123,1.41805,1.42675,1.42363,0.00102345,0.00102345,0.00102345
45,1574,1.25012,1.12267,1.37014,0.74273,0.77098,0.76694,0.4683,1.52295,1.63207,1.5236,0.00101402,0.00101402,0.00101402
46,1608.55,1.24592,1.10737,1.39379,0.98533,0.64412,0.70031,0.39788,1.57315,1.49929,1.48843,0.00100459,0.00100459,0.00100459
47,1643.05,1.24274,1.14537,1.40177,0.95181,0.67701,0.76393,0.47644,1.36087,1.4388,1.35792,0.000995156,0.000995156,0.000995156
48,1677.39,1.18472,1.06995,1.35016,0.79193,0.80393,0.82941,0.47397,1.29458,1.22497,1.35523,0.000985724,0.000985724,0.000985724
49,1711.9,1.24991,1.11753,1.40175,0.87194,0.74825,0.82256,0.51339,1.34905,1.14727,1.42044,0.000976293,0.000976293,0.000976293
50,1747.3,1.18659,1.06816,1.34866,0.96302,0.65613,0.74756,0.44521,1.50918,1.31043,1.45983,0.000966861,0.000966861,0.000966861
51,1782.2,1.2429,1.10295,1.38617,0.9004,0.75829,0.82742,0.47553,1.40222,1.17861,1.41495,0.00095743,0.00095743,0.00095743
52,1816.83,1.18282,1.06036,1.34159,1,0.66222,0.80474,0.47929,1.35387,1.12189,1.43228,0.000947999,0.000947999,0.000947999
53,1851.45,1.19424,1.07117,1.35218,0.95594,0.67133,0.7332,0.42487,1.61636,1.65401,1.49382,0.000938567,0.000938567,0.000938567
54,1885.84,1.18398,1.07229,1.35539,0.89285,0.69406,0.71848,0.43732,1.41252,1.33278,1.41399,0.000929136,0.000929136,0.000929136
55,1920.33,1.15952,1.0408,1.33588,0.8301,0.79371,0.80657,0.49139,1.40525,1.35976,1.48321,0.000919704,0.000919704,0.000919704
56,1954.93,1.16126,1.05549,1.31811,0.90336,0.69406,0.77331,0.45993,1.36535,1.35514,1.39038,0.000910273,0.000910273,0.000910273
